  ,word     ,x                  ,y                   ,count
0 ,proposal ,-64.1117935180664  ,-0.39247792959213257,5
1 ,children ,34.90034484863281  ,18.32524299621582   ,19
2 ,poor     ,-93.35138702392578 ,-27.374025344848633 ,6
3 ,parents  ,72.53419494628906  ,-19.874858856201172 ,8
4 ,country  ,-25.377595901489258,17.44244956970215   ,13
5 ,publick  ,-6.107736110687256 ,-52.29034423828125  ,7
6 ,great    ,-70.36711120605469 ,19.941036224365234  ,10
7 ,four     ,-22.74922752380371 ,-19.523536682128906 ,5
8 ,work     ,64.16463470458984  ,-2.175309896469116  ,6
9 ,time     ,5.356234550476074  ,-59.76807403564453  ,5
10,infants  ,55.876434326171875 ,-38.03493881225586  ,5
11,want     ,40.37540054321289  ,52.90735626220703   ,5
12,think    ,-83.68306732177734 ,-4.574929714202881  ,6
13,number   ,9.832574844360352  ,-80.36568450927734  ,11
14,kingdom  ,-43.779293060302734,-2.777968168258667  ,15
15,therefore,-74.9420166015625  ,-65.82111358642578  ,10
16,could    ,-27.5445613861084  ,81.62821960449219   ,5
17,would    ,-39.376304626464844,43.632720947265625  ,18
18,well     ,-7.1515278816223145,38.25865936279297   ,8
19,much     ,12.98696231842041  ,45.269081115722656  ,5
20,shall    ,-71.17115020751953 ,-21.45211410522461  ,7
21,little   ,78.79571533203125  ,25.23480224609375   ,7
22,many     ,-53.49455261230469 ,-18.737958908081055 ,9
23,years    ,102.59963989257812 ,53.3948974609375    ,8
24,upon     ,-30.480052947998047,-31.206340789794922 ,13
25,child    ,32.036376953125    ,-84.75025939941406  ,9
26,may      ,-52.544185638427734,52.45146942138672   ,11
27,year     ,-55.500858306884766,31.95798110961914   ,9
28,two      ,53.607975006103516 ,92.1797866821289    ,8
29,shillings,-15.303703308105469,64.11773681640625   ,7
30,one      ,27.6181640625      ,42.22410583496094   ,15
31,old      ,-31.775264739990234,7.5682830810546875  ,8
32,charge   ,-93.28028869628906 ,16.005901336669922  ,5
33,food     ,-15.690382957458496,-65.7784423828125   ,6
34,among    ,50.39611053466797  ,-57.85801696777344  ,6
35,hundred  ,81.9802017211914   ,2.650459051132202   ,8
36,thousand ,48.36417770385742  ,14.919424057006836  ,15
37,breeders ,-34.664520263671875,60.18916320800781   ,5
38,although ,24.196409225463867 ,28.2857666015625    ,5
39,cannot   ,25.985549926757812 ,-66.31031036376953  ,6
40,twenty   ,31.07916831970215  ,103.43941497802734  ,5
41,already  ,96.57488250732422  ,-59.206939697265625 ,6
42,neither  ,6.137667655944824  ,-106.39118194580078 ,5
43,pounds   ,63.59375           ,16.981735229492188  ,6
44,least    ,-73.40494537353516 ,42.51480484008789   ,7
45,young    ,17.097326278686523 ,-50.11602783203125  ,5
46,make     ,112.93168640136719 ,-22.021888732910156 ,8
47,good     ,-82.07029724121094 ,-46.06001281738281  ,8
48,flesh    ,-45.07850646972656 ,-38.32443618774414  ,5
49,ever     ,-21.694366455078125,-108.79350280761719 ,5
